Date,Open,High,Low,Close,Volume
2011-01-03,150.00,150.62,149.92,150.00,5304900
2011-01-04,149.89,150.46,147.33,148.54,4930100
2011-01-05,148.25,149.11,146.86,148.79,4097600
2011-01-06,148.37,149.87,144.04,144.64,5519700
2011-01-07,144.75,145.45,140.52,140.55,6208900
2011-01-10,141.45,141.85,137.63,137.67,5723000
2011-01-11,137.56,137.66,135.94,136.10,6464600
2011-01-12,135.11,135.56,133.02,134.69,4052200
2011-01-13,134.87,135.38,133.78,133.85,6460800
2011-01-14,133.57,133.70,132.93,133.56,5580700
2011-01-17,133.40,133.88,131.87,131.91,3100400
2011-01-18,131.53,132.84,131.19,132.01,4520800
2011-01-19,132.35,134.10,131.09,133.29,4130300
2011-01-20,133.62,134.82,133.15,133.92,7221400
2011-01-21,133.58,136.45,133.42,135.80,4529200
2011-01-24,135.81,140.23,135.46,139.66,5375300
2011-01-25,138.95,139.87,138.41,138.42,5015700
2011-01-26,137.43,143.24,136.72,141.86,5253000
2011-01-27,142.58,143.46,137.90,139.68,5123100
2011-01-28,140.41,140.79,139.35,139.62,4426500
2011-01-31,139.35,141.93,139.12,141.82,4541700
2011-02-01,141.92,145.49,141.72,144.82,5504600
2011-02-02,144.68,146.52,143.75,146.38,7050500
2011-02-03,147.38,148.29,146.09,148.00,5433600
2011-02-04,147.74,151.95,146.54,151.01,5271400
2011-02-07,151.10,152.65,150.96,151.26,5506600
2011-02-08,151.18,154.36,149.60,152.87,5412400
2011-02-09,153.05,153.71,151.12,151.32,3863800
2011-02-10,152.08,152.52,147.65,147.87,6436400
2011-02-11,147.37,148.16,141.52,143.22,6652600
2011-02-14,142.68,148.14,142.52,146.58,5555400
2011-02-15,146.89,148.46,146.09,148.09,3673600
2011-02-16,148.02,148.25,146.28,146.95,4630000
2011-02-17,147.10,148.49,145.17,145.58,4617000
2011-02-18,145.09,145.54,143.19,144.36,4339100
2011-02-21,144.21,144.61,139.82,141.80,6886400
