Date,Open,High,Low,Close,Volume
2011-01-03,1000.00,1003.64,999.27,1000.00,18630
2011-01-04,999.35,1001.59,991.70,992.79,20090
2011-01-05,993.43,993.59,990.16,990.84,17460
2011-01-06,992.05,992.66,989.98,990.78,18850
2011-01-07,992.04,993.44,990.93,992.86,22360
2011-01-10,992.64,992.73,985.70,987.87,21160
2011-01-11,986.15,996.09,983.50,993.90,14030
2011-01-12,997.68,998.62,994.97,995.11,12700
2011-01-13,995.91,996.95,991.12,992.58,24200
2011-01-14,991.66,993.89,981.13,985.16,18070
2011-01-18,986.15,987.92,979.89,982.03,33910
2011-01-19,980.03,986.25,979.41,985.65,12840
2011-01-20,983.91,989.15,979.37,988.49,21980
2011-01-21,988.73,994.97,988.48,993.03,18070
2011-01-24,992.52,994.11,988.00,990.59,23560
2011-01-25,989.60,994.88,987.02,994.49,20650
2011-01-26,993.00,995.32,990.70,993.65,20040
2011-01-27,992.97,1003.49,991.25,1000.99,25540
2011-01-28,1002.46,1004.36,999.74,1001.58,19010
2011-01-31,1000.24,1001.58,996.54,996.71,14570
2011-02-01,995.81,997.49,993.11,995.28,20760
2011-02-02,997.19,1000.89,996.19,996.55,15470
2011-02-03,997.59,999.81,997.50,998.28,20860
2011-02-04,996.46,1003.03,994.45,1000.92,18120
2011-02-07,1002.03,1004.12,998.31,999.15,11790
2011-02-08,998.00,1004.81,995.05,1000.26,16930
2011-02-09,1001.95,1008.61,1000.45,1006.26,14320
2011-02-10,1006.27,1012.11,1005.69,1011.71,18670
2011-02-11,1011.16,1014.98,1010.55,1014.01,24020
2011-02-14,1012.94,1019.97,1012.14,1017.74,16190
2011-02-15,1014.40,1017.08,1007.56,1009.66,20070
2011-02-16,1006.53,1012.92,1005.52,1011.10,18640
2011-02-17,1011.81,1013.98,1009.63,1011.67,23720
2011-02-18,1010.35,1011.08,1005.55,1010.04,17290
2011-02-22,1009.07,1011.39,1005.93,1011.30,19850
2011-02-23,1012.73,1014.14,1004.97,1008.38,18330
