Date,Open,High,Low,Close,Volume
2011-01-03,350.00,350.86,348.46,350.00,3001200
2011-01-04,352.02,352.19,349.16,350.36,2973400
2011-01-05,350.26,355.47,348.17,353.20,2556400
2011-01-06,354.72,355.95,352.44,352.71,2133200
2011-01-07,350.11,354.82,349.10,352.34,2909300
2011-01-10,353.51,359.37,353.24,355.11,1639900
2011-01-11,354.89,358.91,350.11,357.93,3000800
2011-01-12,357.23,360.98,354.77,359.87,3405300
2011-01-13,360.74,361.02,351.12,352.35,3239200
2011-01-14,354.30,357.66,343.70,349.46,1963300
2011-01-17,347.18,348.52,346.08,347.97,1949800
2011-01-18,347.00,355.58,345.51,351.97,2570300
2011-01-19,352.55,355.37,349.98,352.32,1907500
2011-01-20,351.58,354.16,350.00,350.35,2406300
2011-01-21,349.98,353.02,349.24,352.45,2089000
2011-01-24,351.79,356.64,351.30,354.29,2669200
2011-01-25,355.20,356.11,346.80,348.37,2890700
2011-01-26,345.92,354.91,342.28,351.34,2667500
2011-01-27,349.87,352.86,348.45,349.22,2831400
2011-01-28,347.42,351.76,346.27,350.46,3238700
2011-01-31,350.49,353.33,348.60,353.01,2599700
2011-02-01,353.55,357.66,347.17,348.08,2870600
2011-02-02,349.41,355.97,348.16,354.57,3551100
2011-02-03,355.01,355.75,349.32,349.34,2262500
2011-02-04,346.56,355.02,344.89,354.00,3910200
2011-02-07,353.37,358.91,351.48,357.54,3396900
2011-02-08,355.14,361.08,353.15,356.70,2235400
2011-02-09,356.22,366.60,354.05,363.39,2952300
2011-02-10,365.69,365.69,356.69,360.12,2270300
2011-02-11,357.53,359.03,351.47,352.91,2406500
2011-02-14,352.29,353.73,351.62,353.15,2106300
2011-02-15,350.86,352.09,347.83,348.34,2431400
2011-02-16,349.22,351.01,345.25,348.09,3113000
2011-02-17,347.69,351.84,346.39,349.63,2317100
2011-02-18,350.27,361.56,346.83,357.84,2327400
2011-02-21,357.86,359.48,355.34,356.71,2601800
2011-02-22,356.45,358.68,355.01,357.37,2847700
2011-02-23,354.02,363.09,353.98,361.02,3241400
2011-02-24,361.65,366.45,360.86,365.44,2757300
2011-02-25,366.57,368.15,364.26,364.89,2858700
2011-02-28,361.72,370.62,360.71,369.96,2400100
2011-03-01,371.78,372.66,362.49,364.51,2431500
2011-03-02,365.70,368.68,360.66,361.73,2382600
2011-03-03,361.82,362.27,356.33,358.11,2065100
2011-03-04,356.33,359.56,356.06,356.51,2799700
2011-03-07,354.62,361.48,352.96,359.85,1578700
2011-03-08,362.01,366.37,357.69,360.05,2578100
2011-03-09,359.88,366.67,358.76,365.34,2163100
2011-03-10,365.13,368.46,356.98,358.08,2920900
2011-03-11,357.64,360.32,354.73,355.14,1941800
2011-03-14,353.48,360.86,348.21,359.27,2694900
2011-03-15,358.30,358.74,357.57,358.63,2856000
2011-03-16,357.98,358.36,356.23,356.76,2979100
2011-03-17,357.83,360.18,346.14,346.71,1643900
2011-03-18,345.28,351.96,342.96,350.14,1603300
2011-03-21,350.70,350.83,342.64,344.62,1689800
2011-03-22,344.57,348.76,343.90,346.94,2706300
2011-03-23,346.27,347.51,341.71,341.77,2987200
2011-03-24,341.84,342.02,338.19,339.19,2323500
2011-03-25,338.20,351.08,336.09,347.08,2865700
2011-03-28,349.56,350.80,341.76,342.01,2433200
2011-03-29,342.86,346.93,331.88,337.51,2119900
2011-03-30,339.05,339.23,335.32,336.61,2207700
2011-03-31,337.60,339.77,327.46,327.76,2562100
2011-04-01,329.72,331.35,327.04,327.93,1779900
2011-04-04,327.80,330.41,327.10,328.28,2619300
2011-04-05,328.09,329.95,326.36,327.04,2131300
2011-04-06,326.38,328.49,321.97,323.16,2033100
2011-04-07,322.68,323.14,318.72,322.91,3443700
2011-04-08,322.94,327.21,316.61,319.90,2792200
2011-04-11,321.86,322.20,315.76,318.46,2949200
2011-04-12,319.12,319.32,314.71,314.79,3051800
2011-04-13,316.26,318.45,315.88,317.72,2618900
2011-04-14,317.58,317.64,315.67,316.01,2256400
2011-04-15,315.09,321.89,310.78,320.68,2354600
2011-04-18,321.88,323.52,315.41,316.78,1538600
2011-04-19,317.57,319.98,313.57,315.63,1639900
2011-04-20,313.68,313.82,312.49,312.56,3063000
2011-04-21,312.71,316.80,312.71,314.82,2176100
2011-04-22,312.27,320.38,310.67,320.33,2830800
2011-04-25,319.91,326.48,318.41,324.13,2600000
2011-04-26,322.83,335.40,320.91,332.09,1316000
2011-04-27,332.07,337.07,327.56,334.84,2718100
2011-04-28,334.66,334.80,321.55,327.34,600000
2011-04-29,325.43,329.76,324.98,328.47,2008000
2011-05-02,331.09,334.73,330.70,333.69,2500300
2011-05-03,334.79,338.86,333.50,337.28,1987600
2011-05-04,337.54,337.86,336.16,337.85,2387500
2011-05-05,336.99,339.79,335.34,338.76,1905000
2011-05-06,338.58,342.49,336.42,339.54,2083200
2011-05-09,340.58,343.98,330.64,330.87,2980800
2011-05-10,330.82,331.46,326.95,326.99,3141200
2011-05-11,325.97,330.89,325.94,329.80,2315700
2011-05-12,328.58,338.07,327.56,335.75,2661800
