Date,Open,High,Low,Close,Volume
2026-01-02,188.00,190.50,187.20,189.80,152300000
2026-01-05,189.80,192.10,188.90,191.40,148700000
2026-01-06,191.40,193.30,190.20,192.60,155100000
2026-01-07,192.60,194.00,190.80,191.20,160400000
2026-01-08,191.20,192.50,189.10,190.00,158900000
2026-01-09,190.00,193.20,189.70,192.80,149600000
2026-01-12,192.80,195.40,192.30,194.90,162800000
2026-01-13,194.90,196.80,193.50,195.70,157300000
2026-01-14,195.70,197.20,194.10,194.60,151200000
2026-01-15,194.60,196.00,192.40,195.30,146800000
2026-01-16,195.30,198.10,194.90,197.60,165500000
2026-01-20,197.60,200.50,196.90,199.90,170200000
2026-01-21,199.90,201.20,197.80,198.30,168400000
2026-01-22,198.30,199.70,195.90,196.50,159700000
2026-01-23,196.50,198.80,195.40,198.20,147500000
2026-01-26,198.20,201.00,197.90,200.40,161100000
2026-01-27,200.40,202.60,199.50,201.80,154600000
2026-01-28,201.80,203.30,200.10,200.90,150300000
2026-01-29,200.90,204.10,200.40,203.50,172800000
2026-01-30,203.50,205.20,202.60,204.70,166200000
