Date,Open,High,Low,Close,Volume
2011-01-03,1700.00,1712.12,1690.92,1700.00,29200
2011-01-04,1700.59,1706.54,1685.86,1692.48,61800
2011-01-05,1696.48,1727.68,1684.88,1716.43,66000
2011-01-06,1708.57,1712.52,1689.21,1705.12,66000
2011-01-07,1703.45,1703.77,1679.29,1681.65,66700
2011-01-10,1670.95,1679.41,1650.44,1652.39,55700
2011-01-11,1664.17,1666.71,1630.11,1631.20,58900
2011-01-12,1634.74,1648.41,1617.11,1619.44,60000
2011-01-13,1622.43,1627.43,1588.63,1589.84,47800
2011-01-14,1592.99,1614.12,1583.03,1609.45,65700
2011-01-18,1602.12,1603.96,1573.11,1580.46,59000
2011-01-19,1582.06,1605.10,1571.48,1601.55,60200
2011-01-20,1605.49,1606.80,1586.96,1590.61,59100
2011-01-21,1585.52,1592.09,1573.55,1578.21,53300
2011-01-24,1575.37,1577.87,1540.26,1541.85,62100
2011-01-25,1537.58,1550.83,1535.30,1546.81,44100
2011-01-26,1544.51,1564.38,1532.83,1560.71,61600
2011-01-27,1567.08,1575.63,1557.75,1560.90,52800
2011-01-28,1568.10,1575.67,1550.74,1557.14,71400
2011-01-31,1554.89,1559.46,1551.12,1551.15,48900
2011-02-01,1557.13,1558.83,1541.29,1550.48,53400
2011-02-02,1546.20,1550.20,1539.31,1539.58,78200
2011-02-03,1535.57,1555.35,1525.42,1549.55,68900
2011-02-04,1556.29,1576.21,1554.83,1574.53,67100
2011-02-07,1589.80,1592.87,1584.58,1592.68,59300
2011-02-08,1581.21,1584.17,1545.75,1547.53,55700
2011-02-09,1543.64,1547.88,1530.71,1531.50,57600
2011-02-10,1537.42,1545.54,1509.42,1517.14,50200
2011-02-11,1528.60,1532.67,1517.93,1526.44,62600
2011-02-14,1531.32,1539.86,1484.03,1489.97,53900
2011-02-15,1488.49,1498.15,1469.33,1472.11,56000
2011-02-16,1466.50,1474.95,1464.60,1474.04,42300
2011-02-17,1465.71,1468.35,1436.02,1439.84,52500
2011-02-18,1450.12,1465.82,1441.75,1464.46,57600
2011-02-22,1468.08,1495.06,1467.14,1483.33,43800
2011-02-23,1478.11,1489.89,1462.50,1464.10,52200
2011-02-24,1468.77,1473.95,1447.87,1456.99,77500
2011-02-25,1456.49,1462.36,1444.26,1449.27,50200
2011-02-28,1459.53,1465.26,1434.01,1437.45,58200
2011-03-01,1444.35,1448.65,1396.53,1412.32,64400
2011-03-02,1408.13,1455.70,1398.61,1445.39,35800
2011-03-03,1445.93,1454.23,1436.92,1451.89,67300
2011-03-04,1454.89,1456.27,1419.53,1426.43,42600
2011-03-07,1430.00,1431.26,1402.10,1403.06,60500
2011-03-08,1402.30,1444.03,1388.61,1430.81,46000
2011-03-09,1424.45,1427.69,1410.53,1410.98,69500
2011-03-10,1399.58,1406.19,1384.21,1386.46,52800
2011-03-11,1380.38,1395.25,1354.00,1359.66,49600
2011-03-14,1362.87,1396.33,1358.79,1391.64,44900
2011-03-15,1394.96,1403.34,1358.75,1364.66,54000
2011-03-16,1358.75,1366.54,1353.40,1364.73,68900
2011-03-17,1369.57,1377.66,1363.70,1373.91,51600
2011-03-18,1368.61,1372.42,1346.86,1349.68,68600
2011-03-21,1355.60,1357.33,1341.66,1346.79,35400
2011-03-22,1345.67,1345.87,1311.71,1325.73,66900
2011-03-23,1333.19,1337.38,1306.17,1307.22,57300
2011-03-24,1308.40,1312.85,1297.08,1302.32,51300
2011-03-25,1301.38,1342.38,1296.17,1339.74,37000
2011-03-28,1337.91,1345.34,1335.91,1338.84,79900
2011-03-29,1336.23,1348.95,1327.73,1344.87,63300
2011-03-30,1347.17,1353.16,1321.06,1338.90,65300
2011-03-31,1340.78,1343.72,1322.05,1326.16,46500
2011-04-01,1334.32,1371.67,1320.94,1360.33,46900
2011-04-04,1366.02,1372.39,1337.85,1339.50,52300
2011-04-05,1338.97,1353.77,1317.17,1327.91,27000
2011-04-06,1323.34,1348.08,1308.67,1342.86,57500
2011-04-07,1350.43,1357.62,1321.46,1323.93,48100
2011-04-08,1321.59,1346.95,1314.36,1337.80,65100
2011-04-11,1334.30,1361.98,1326.15,1357.80,50900
2011-04-12,1352.92,1387.08,1351.22,1382.21,50200
2011-04-13,1384.20,1386.54,1374.67,1382.54,56000
2011-04-14,1387.26,1395.72,1360.43,1373.40,71300
2011-04-15,1371.38,1381.03,1363.06,1379.25,49200
2011-04-18,1369.33,1385.00,1367.37,1371.87,55100
2011-04-19,1365.80,1391.91,1363.02,1386.62,69100
2011-04-20,1378.62,1409.80,1375.50,1395.51,57900
2011-04-21,1394.85,1398.78,1371.94,1372.02,60400
2011-04-22,1371.27,1397.33,1365.11,1390.63,59000
2011-04-25,1404.36,1405.72,1387.52,1401.31,61400
2011-04-26,1407.87,1423.18,1372.17,1376.71,41900
2011-04-27,1373.04,1380.83,1314.55,1316.12,83100
2011-04-28,1322.02,1346.54,1310.96,1334.89,46600
2011-04-29,1339.90,1342.27,1330.48,1330.93,52200
2011-05-02,1334.85,1340.98,1316.35,1323.69,65500
2011-05-03,1329.74,1336.14,1305.91,1315.71,45000
2011-05-04,1311.30,1314.44,1273.85,1276.10,59300
2011-05-05,1272.41,1281.57,1269.43,1278.42,62100
2011-05-06,1270.18,1278.55,1259.43,1272.71,67600
2011-05-09,1266.49,1267.59,1259.92,1264.65,64600
2011-05-10,1267.87,1302.63,1266.33,1302.36,77200
2011-05-11,1305.76,1305.81,1278.87,1287.34,69300
2011-05-12,1281.50,1297.74,1274.38,1297.15,69500
2011-05-13,1299.07,1302.30,1260.48,1261.14,65200
2011-05-16,1257.93,1260.32,1241.20,1244.12,54800
2011-05-17,1240.06,1266.25,1237.79,1265.95,64200
