Date,Open,High,Low,Close,Volume
2011-01-03,500.00,504.55,496.11,500.00,4136700
2011-01-04,503.58,505.02,498.08,503.71,7072000
2011-01-05,502.26,510.13,501.16,505.22,5455100
2011-01-06,506.72,510.45,500.93,504.93,5700200
2011-01-07,503.99,505.25,488.50,490.01,4720300
2011-01-10,489.79,494.09,484.94,492.91,6737800
2011-01-11,491.62,492.32,477.05,479.60,6435700
2011-01-12,479.72,490.17,475.92,485.49,4621000
2011-01-13,486.48,490.70,483.54,489.49,5555900
2011-01-14,485.64,498.10,484.29,494.94,8115900
2011-01-17,498.52,502.77,496.12,500.42,6412400
2011-01-18,503.19,504.34,498.94,502.47,5829600
2011-01-19,506.41,507.58,493.98,499.09,5749100
2011-01-20,500.47,503.64,496.65,497.21,6778000
2011-01-21,499.18,511.29,496.13,507.17,6119600
2011-01-24,506.51,507.40,503.13,503.43,5725600
2011-01-25,504.66,509.35,501.55,502.04,5694000
2011-01-26,500.88,501.23,491.61,497.43,5465700
2011-01-27,500.71,502.16,493.32,494.22,6420400
2011-01-28,494.16,494.45,489.80,492.38,7460800
2011-01-31,494.49,494.67,493.66,494.17,5744400
2011-02-01,494.64,494.66,490.34,492.42,5442700
2011-02-02,494.92,495.44,488.80,490.29,5960100
2011-02-03,491.56,492.81,486.14,486.52,4763500
2011-02-04,484.14,490.31,483.86,487.25,4285600
2011-02-07,483.58,484.18,477.66,478.97,6123900
2011-02-08,478.17,481.16,476.33,479.49,7676200
2011-02-09,479.20,488.83,478.46,487.92,5805400
2011-02-10,485.45,488.82,481.37,483.24,6558700
2011-02-11,484.95,487.22,482.94,483.13,5553500
2011-02-14,485.10,504.16,482.70,501.34,7213000
2011-02-15,502.80,505.62,493.28,495.02,5825300
2011-02-16,496.38,498.13,482.76,484.83,5877900
2011-02-17,485.56,488.01,480.35,482.32,4548700
2011-02-18,480.97,494.56,480.81,493.98,5862200
2011-02-21,495.09,508.55,493.27,507.37,7187700
2011-02-22,503.82,509.04,496.72,499.50,6944300
2011-02-23,499.90,504.11,497.38,503.34,6233600
2011-02-24,505.09,505.54,500.30,503.48,6990500
2011-02-25,499.89,501.23,499.11,499.75,6451300
2011-02-28,503.71,507.35,485.96,487.39,6521200
2011-03-01,485.54,497.70,479.79,494.09,7351800
2011-03-02,496.27,501.73,487.83,488.74,4336200
2011-03-03,488.16,492.41,486.19,490.81,8486900
2011-03-04,491.01,493.19,488.79,491.49,6832500
2011-03-07,490.13,506.91,489.38,503.75,6382000
2011-03-08,503.79,516.06,502.77,511.62,5356500
2011-03-09,511.52,512.54,503.89,504.08,6387300
2011-03-10,502.89,508.69,501.22,502.47,4849700
2011-03-11,504.65,513.90,502.38,509.41,5027400
2011-03-14,510.72,511.29,499.94,500.75,4259400
2011-03-15,501.41,506.35,493.91,498.33,5565300
2011-03-16,496.15,505.37,495.55,499.94,6082600
2011-03-17,501.14,506.93,487.03,489.68,4611000
2011-03-18,492.29,494.99,480.74,482.04,4367500
2011-03-21,484.16,487.02,464.78,471.67,6595500
2011-03-22,473.87,475.02,473.22,473.67,4673500
2011-03-23,474.68,474.71,468.87,470.45,5102700
2011-03-24,471.67,480.24,471.22,476.41,5840300
2011-03-25,474.70,480.20,472.78,477.33,6370900
2011-03-28,478.70,481.39,477.50,481.11,6375700
2011-03-29,480.56,482.42,475.86,480.79,6079700
2011-03-30,478.89,487.14,476.98,485.72,5106300
2011-03-31,486.42,490.73,480.86,485.26,4954100
2011-04-01,485.91,487.57,478.88,479.29,6818600
2011-04-04,480.37,487.65,478.78,486.93,6939800
2011-04-05,485.27,494.96,484.84,493.36,5885400
2011-04-06,493.91,508.86,489.29,508.28,5463300
2011-04-07,511.00,511.93,504.73,507.45,5985600
2011-04-08,508.83,510.06,501.38,503.75,5940600
2011-04-11,504.52,505.16,494.48,494.48,7001500
2011-04-12,495.33,496.82,470.36,470.44,5955000
2011-04-13,469.74,473.43,462.31,462.75,7422100
2011-04-14,463.96,470.48,463.27,465.96,6758900
2011-04-15,462.43,463.95,458.58,460.89,5610200
2011-04-18,458.98,465.29,442.86,445.87,6234600
2011-04-19,443.34,454.95,443.22,449.75,6677800
2011-04-20,445.66,446.78,445.61,446.62,6673400
2011-04-21,447.70,448.61,442.97,444.86,7235800
2011-04-22,444.16,444.18,441.50,442.70,6475400
2011-04-25,442.66,444.08,439.98,442.27,5794900
2011-04-26,442.24,450.05,440.25,445.36,7722900
