Date,Open,High,Low,Close,Volume
2011-01-03,20000,20023,19737,20000,16647900
2011-01-04,19906,19963,19850,19894,13319800
2011-01-05,19962,20025,19841,19972,11822300
2011-01-06,19877,20278,19764,20146,17264100
2011-01-07,20206,20470,19855,19878,14281400
2011-01-10,19817,20227,19697,20097,14586900
2011-01-11,19993,20307,19968,20173,13124100
2011-01-12,20327,20463,20189,20399,14159500
2011-01-13,20384,20602,20377,20479,15462800
2011-01-14,20391,20864,20198,20817,14599400
2011-01-17,20659,20763,20398,20547,13823700
2011-01-18,20510,21208,20482,21066,14887400
2011-01-19,21149,21435,21024,21424,16370200
2011-01-20,21481,21654,21230,21244,23071200
2011-01-21,21218,21475,21129,21440,16725600
2011-01-24,21403,21790,21345,21573,15655600
2011-01-25,21521,21549,20855,21050,17569500
2011-01-26,21072,21288,21011,21227,18752800
2011-01-27,21187,21220,21052,21053,19012600
2011-01-28,20988,21091,20856,20980,8810300
2011-01-31,20861,20960,20712,20804,10217600
2011-02-01,20961,20998,20639,20681,12726600
2011-02-02,20542,20805,20490,20704,16350600
2011-02-03,20737,20952,20592,20734,13868400
2011-02-04,20796,20839,20220,20288,12117600
2011-02-07,20331,20430,20136,20215,12989800
2011-02-08,20290,20336,19777,19842,17939200
2011-02-09,19900,19976,19421,19497,11170900
2011-02-10,19472,19513,19212,19409,14305800
2011-02-11,19471,19801,19377,19650,18924500
2011-02-14,19656,20028,19625,19830,16756400
2011-02-15,19813,19894,19588,19668,14623900
2011-02-16,19511,19699,19407,19480,14410900
2011-02-17,19353,19622,19207,19262,16743700
2011-02-18,19180,19389,19098,19308,8636800
2011-02-21,19354,19641,19208,19570,16587400
2011-02-22,19671,19861,19433,19582,16900700
2011-02-23,19658,20023,19530,19779,14042900
2011-02-24,19782,19884,19689,19872,14326900
2011-02-25,19842,20422,19732,20300,14346000
2011-02-28,20297,20402,19657,19742,15596400
2011-03-01,19735,19755,19147,19167,10978900
2011-03-02,19146,19282,19008,19122,12548900
2011-03-03,19045,19365,19031,19301,12841400
2011-03-04,19259,19478,19143,19198,9640300
2011-03-07,19213,19452,19147,19321,17517000
2011-03-08,19365,19461,18906,19014,13896500
2011-03-09,19092,19279,18665,18690,13732000
2011-03-10,18669,18768,18478,18513,9184700
2011-03-11,18462,18797,18370,18743,16469500
2011-03-14,18695,18956,18639,18936,16554100
2011-03-15,18975,19064,18702,18757,9139600
2011-03-16,18715,18986,18643,18814,12654300
2011-03-17,18755,18773,18557,18654,14396000
2011-03-18,18681,18771,18513,18669,18134100
2011-03-21,18768,18874,18366,18390,13276100
2011-03-22,18494,18658,18314,18389,14922000
2011-03-23,18386,18466,18099,18212,10705700
2011-03-24,18234,18367,18168,18212,11912200
2011-03-25,18145,18238,18037,18058,18615600
2011-03-28,17946,18061,17781,17864,10410100
2011-03-29,17993,18098,17798,17905,17703900
2011-03-30,17933,17955,17770,17833,9479200
2011-03-31,17769,17881,17735,17852,14715600
2011-04-01,17843,18067,17479,17760,14093800
2011-04-04,17688,17936,17534,17927,16545600
2011-04-05,17900,17919,17716,17736,13558200
2011-04-06,17748,18033,17477,17941,20138700
2011-04-07,17906,18344,17686,18292,13485300
2011-04-08,18318,18336,18151,18235,9589000
2011-04-11,18255,18889,18164,18698,15591000
2011-04-12,18813,19329,18742,19247,13662000
2011-04-13,19109,19381,19037,19376,10497400
2011-04-14,19329,19492,18990,19019,15055900
2011-04-15,18916,18966,18563,18602,8155600
2011-04-18,18575,18620,18488,18567,19481000
2011-04-19,18607,19103,18580,19046,13346100
2011-04-20,19162,19250,19094,19209,8345100
2011-04-21,19199,19506,18912,19422,8254500
2011-04-22,19509,19570,19360,19362,14449200
2011-04-25,19350,19491,19168,19169,10158000
2011-04-26,19070,19345,18960,19278,13287700
2011-04-27,19333,19409,18939,18990,17699700
2011-04-28,18998,19082,18894,18947,13478000
2011-04-29,18842,19147,18804,19093,12263500
2011-05-02,19170,19248,19053,19112,13567700
2011-05-03,19259,19415,19168,19262,14274300
2011-05-04,19285,19336,19107,19150,11363200
2011-05-05,19294,19524,19267,19321,12834200
2011-05-06,19215,19801,19196,19439,14575900
2011-05-09,19407,19503,18989,19003,16273800
2011-05-10,18988,19126,18651,18737,12922400
2011-05-11,18712,18744,18365,18559,17276700
2011-05-12,18597,18873,18538,18741,20695900
2011-05-13,18734,18861,18560,18831,10079100
2011-05-16,18864,18982,18664,18916,16088500
2011-05-17,18893,19110,18854,18972,14816700
2011-05-18,18969,19263,18743,19152,15194800
2011-05-19,19172,19518,19155,19417,17729500
2011-05-20,19284,19344,19261,19275,7235700
2011-05-23,19356,19447,18820,18859,9216800
2011-05-24,18748,19214,18648,19046,13322000
2011-05-25,19068,19247,18852,19000,17352300
2011-05-26,19060,19148,18993,19023,14874800
2011-05-27,19029,19069,18964,18987,16774400
2011-05-30,18860,18873,18560,18703,15923500
2011-05-31,18743,18748,18261,18322,15036300
2011-06-01,18466,18629,18352,18584,14638000
2011-06-02,18562,18922,18499,18882,12873700
2011-06-03,18938,19182,18924,19140,14747000
2011-06-06,19176,19406,19172,19206,14828800
2011-06-07,19147,19303,19103,19288,14053300
2011-06-08,19183,19291,19139,19184,19843400
2011-06-09,19233,19525,19153,19212,12691400
2011-06-10,19209,19371,18985,19113,9712800
2011-06-13,19035,19078,18872,18978,20604500
2011-06-14,19083,19306,18936,19043,8831900
2011-06-15,18988,19678,18851,19511,11264800
2011-06-16,19519,19523,18865,19011,11797400
2011-06-17,18945,19301,18806,19183,17201000
2011-06-20,19248,19435,19140,19375,13978100
2011-06-21,19348,19519,18994,19057,14214500
2011-06-22,19021,19179,18931,19151,19896200
2011-06-23,19154,19280,19003,19188,17546600
2011-06-24,19139,19211,18982,19073,13789500
2011-06-27,19165,19174,18800,18951,7049500
2011-06-28,18990,19067,18506,18592,9776300
2011-06-29,18693,19059,18499,19054,16302000
2011-06-30,19183,19755,19088,19701,11949100
2011-07-01,19559,20207,19374,20152,12973300
2011-07-04,20109,20175,20050,20077,18732200
2011-07-05,19955,20352,19878,20164,18575200
2011-07-06,20182,20290,20126,20277,20331100
2011-07-07,20369,20501,19961,20054,11897500
2011-07-08,20117,20151,19963,19988,14639700
2011-07-11,20060,20267,20047,20145,18272800
2011-07-12,20213,20330,19967,20033,12929800
2011-07-13,19945,20092,19422,19552,15329200
2011-07-14,19619,19747,19195,19217,15494700
2011-07-15,19109,19311,19103,19295,16386200
2011-07-18,19217,19285,19154,19214,12007400
2011-07-19,19364,19538,19087,19144,8357800
2011-07-20,19121,19528,19115,19521,12062300
2011-07-21,19447,19635,19344,19553,14655400
2011-07-22,19478,19601,19362,19367,15287100
2011-07-25,19329,19416,19327,19359,11256600
2011-07-26,19276,20120,19032,19962,14303000
2011-07-27,19818,19997,19583,19657,13214300
2011-07-28,19613,20295,19203,20164,15275300
2011-07-29,20133,20674,19927,20582,11445500
2011-08-01,20535,20739,20361,20541,12882000
2011-08-02,20635,20785,20265,20450,18833500
2011-08-03,20323,21134,20173,20866,14742600
