Date,Open,High,Low,Close,Volume
2011-01-03,1100.00,1101.30,1096.40,1100.00,1917200
2011-01-04,1105.68,1112.40,1097.99,1100.40,2980900
2011-01-05,1096.14,1114.90,1092.17,1105.40,3220600
2011-01-06,1097.47,1113.65,1095.52,1101.54,2103200
2011-01-07,1103.33,1115.54,1072.65,1088.27,3594000
2011-01-10,1083.32,1085.10,1079.20,1081.79,2217500
2011-01-11,1079.89,1090.10,1064.27,1067.30,3697200
2011-01-12,1071.20,1072.70,1065.98,1068.68,3137700
2011-01-13,1065.19,1098.89,1062.78,1089.40,2595700
2011-01-14,1093.24,1097.18,1076.53,1082.34,2047000
2011-01-17,1079.40,1082.56,1072.61,1073.42,2809700
2011-01-18,1079.84,1091.17,1076.90,1081.27,2958100
2011-01-19,1087.02,1093.69,1086.76,1087.13,2937000
2011-01-20,1085.09,1092.13,1079.93,1089.17,2657600
2011-01-21,1088.24,1094.00,1068.04,1075.50,2888200
2011-01-24,1071.92,1079.75,1068.17,1075.52,3539700
2011-01-25,1076.38,1095.67,1070.31,1086.51,2467100
2011-01-26,1091.51,1094.89,1057.77,1066.68,2888900
2011-01-27,1060.52,1069.31,1058.89,1060.35,3291200
2011-01-28,1064.25,1069.61,1027.97,1032.99,3001400
2011-01-31,1027.54,1035.20,1014.80,1015.07,3535200
2011-02-01,1011.59,1016.80,982.52,989.84,3950200
2011-02-02,982.79,991.24,981.52,987.26,2801300
2011-02-03,995.61,998.33,969.31,970.57,3144200
2011-02-04,970.80,989.37,964.52,974.99,1246300
2011-02-07,975.95,983.74,970.27,977.85,2805000
2011-02-08,975.21,981.14,964.64,976.00,3417400
2011-02-09,980.18,983.07,932.14,942.90,2339400
2011-02-10,935.00,946.23,933.40,936.60,3814200
2011-02-11,936.70,945.06,934.13,936.77,1879600
2011-02-14,945.07,950.76,933.90,939.06,3826100
2011-02-15,937.62,942.10,919.53,919.94,2702200
2011-02-16,920.00,922.71,908.03,914.64,2398200
2011-02-17,917.10,918.45,890.71,903.04,2720300
2011-02-18,900.11,902.22,888.67,893.74,2852300
2011-02-21,893.82,910.95,892.19,908.02,2401200
2011-02-22,911.52,913.21,888.83,898.67,2180800
2011-02-23,899.37,904.01,895.03,899.15,2696800
2011-02-24,900.48,912.65,893.95,911.25,3582400
2011-02-25,909.98,912.24,893.73,904.69,3256100
2011-02-28,905.83,910.97,902.02,904.15,3820000
2011-03-01,904.36,910.33,902.83,906.43,2644100
2011-03-02,911.73,916.14,907.54,908.12,2797200
2011-03-03,910.76,920.74,885.56,893.54,2810000
2011-03-04,892.67,901.39,888.36,895.40,3097400
2011-03-07,886.67,915.96,874.39,913.51,3288700
2011-03-08,916.13,922.05,894.10,894.78,4068600
2011-03-09,897.49,913.46,888.82,906.53,3434000
2011-03-10,903.21,920.91,888.10,908.92,3109500
2011-03-11,901.69,907.08,895.61,901.67,3826600
2011-03-14,897.56,934.96,895.06,928.19,2539000
2011-03-15,931.64,947.07,929.91,939.00,2219100
2011-03-16,935.01,947.44,922.45,924.17,3411500
2011-03-17,922.47,929.73,916.51,925.98,3110200
2011-03-18,926.80,934.89,921.06,934.34,3081900
2011-03-21,938.93,941.43,926.60,932.70,3570600
2011-03-22,932.63,950.06,922.16,942.50,2807900
2011-03-23,942.12,946.26,941.08,942.43,2941800
2011-03-24,940.37,959.10,929.73,952.10,3237500
2011-03-25,958.33,975.55,953.57,972.28,3400100
2011-03-28,976.43,984.94,952.69,963.87,3601600
2011-03-29,963.50,973.13,961.79,967.38,3079500
